,tweet_id,favorite_count,retweet_count
95,667550882905632768,0,25
96,667550904950915073,0,28
97,667724302356258817,424,268
98,667728196545200128,325,126
99,667766675769573376,373,185
100,667773195014021121,204,44
101,667782464991965184,363,211
102,667793409583771648,609,286
103,667801013445750784,283,82
104,667806454573760512,931,417
105,667832474953625600,255,55
106,667861340749471744,221,69
107,667866724293877760,2717,901
108,667873844930215936,553,340
109,667878741721415682,349,101
110,667885044254572545,729,400
111,667886921285246976,1646,908
112,667902449697558528,758,334
113,667911425562669056,431,246
114,667915453470232577,184,46
115,667924896115245057,264,95
116,667937095915278337,1116,692
117,668113020489474048,585,208
118,668142349051129856,510,238
119,668154635664932864,440,273
120,668171859951755264,425,162
121,668190681446379520,577,171
122,668204964695683073,489,172
123,668221241640230912,452,169
124,668226093875376128,247,85
125,668237644992782336,5446,2425
126,668248472370458624,842,408
127,668256321989451776,1153,518
128,668268907921326080,485,206
129,668274247790391296,721,197
130,668286279830867968,436,117
131,668291999406125056,213,28
132,668297328638447616,557,255
133,668466899341221888,768,441
134,668480044826800133,397,127
135,668484198282485761,372,206
136,668496999348633600,359,114
137,668507509523615744,279,87
138,668528771708952576,404,189
139,668537837512433665,227,61
140,668542336805281792,403,182
141,668544745690562560,453,197
142,668567822092664832,206,46
143,668587383441514497,1478,921
144,668614819948453888,544,272
145,668620235289837568,181,35
146,668623201287675904,1248,654
147,668625577880875008,330,111
148,668627278264475648,281,97
149,668631377374486528,618,280
150,668633411083464705,2466,1381
151,668636665813057536,922,435
152,668641109086707712,944,466
153,668643542311546881,788,447
154,668645506898350081,774,457
155,668655139528511488,474,189
156,668779399630725120,627,325
157,668815180734689280,493,226
158,668826086256599040,384,112
159,668852170888998912,409,139
160,668872652652679168,477,268
161,668892474547511297,354,126
162,668902994700836864,276,88
163,668932921458302977,227,50
164,668955713004314625,241,63
165,668960084974809088,620,210
166,668967877119254528,127,18
167,668975677807423489,1156,495
168,668979806671884288,705,294
169,668981893510119424,483,259
170,668986018524233728,479,140
171,668988183816871936,800,389
172,668989615043424256,596,288
173,668992363537309700,658,292
174,668994913074286592,391,191
175,669000397445533696,18685,5523
176,669006782128353280,510,209
177,669015743032369152,650,324
178,669037058363662336,573,265
179,669203728096960512,890,407
180,669214165781868544,385,135
181,669216679721873412,1058,348
182,669324657376567296,440,182
183,669327207240699904,498,102
184,669328503091937280,907,367
185,669351434509529089,381,157
186,669353438988365824,566,226
187,669354382627049472,2393,1094
188,669359674819481600,332,103
189,669363888236994561,558,202
190,669367896104181761,406,130
191,669371483794317312,438,148
192,669375718304980992,1178,629
193,669393256313184256,313,62
194,669564461267722241,337,104
195,669567591774625800,202,45
196,669571471778410496,1409,882
197,669573570759163904,388,120
198,669583744538451968,1322,803
199,669597912108789760,447,133
200,669603084620980224,846,316
201,669625907762618368,3124,1568
202,669661792646373376,714,367
203,669680153564442624,588,243
204,669682095984410625,312,116
205,669683899023405056,339,94
206,669684865554620416,448,75
207,669749430875258880,229,55
208,669753178989142016,709,341
209,669923323644657664,202,50
210,669926384437997569,339,81
211,669942763794931712,443,133
212,669970042633789440,272,43
213,669972011175813120,395,134
214,669993076832759809,288,70
215,670003130994700288,296,77
216,670037189829525505,527,240
217,670040295598354432,659,97
218,670046952931721218,576,152
219,670055038660800512,592,279
220,670061506722140161,669,290
221,670069087419133954,554,205
222,670073503555706880,1386,680
223,670079681849372674,1959,1057
224,670086499208155136,622,218
225,670093938074779648,911,277
226,670290420111441920,623,250
227,670303360680108032,382,107
228,670319130621435904,3468,1067
229,670338931251150849,374,96
230,670361874861563904,288,55
231,670374371102445568,669,238
232,670385711116361728,493,173
233,670403879788544000,378,130
234,670408998013820928,485,187
235,670411370698022913,1796,772
236,670417414769758208,501,280
237,670420569653809152,540,265
238,670421925039075328,1148,552
239,670427002554466305,463,142
240,670428280563085312,1232,523
241,670433248821026816,296,100
242,670434127938719744,1256,561
243,670435821946826752,940,437
244,670442337873600512,581,175
245,670444955656130560,6062,1746
246,670449342516494336,1075,569
247,670452855871037440,489,174
248,670465786746662913,854,468
249,670468609693655041,317,77
250,670474236058800128,1341,632
251,670668383499735048,9467,4321
252,670676092097810432,215,35
253,670679630144274432,666,243
254,670691627984359425,520,209
255,670704688707301377,687,319
256,670717338665226240,1053,418
257,670727704916926465,736,314
258,670733412878163972,850,446
259,670755717859713024,393,88
260,670764103623966721,958,371
261,670778058496974848,298,62
262,670780561024270336,701,249
263,670782429121134593,1351,659
264,670783437142401025,726,331
265,670786190031921152,529,171
266,670789397210615808,584,210
267,670792680469889025,733,238
268,670797304698376195,661,203
269,670803562457407488,302,78
270,670804601705242624,1739,818
271,670807719151067136,1051,428
272,670811965569282048,984,231
273,670815497391357952,2786,1321
274,670822709593571328,544,83
275,670823764196741120,677,161
276,670826280409919488,4873,3514
277,670832455012716544,647,184
278,670833812859932673,382,109
279,670838202509447168,985,598
280,670840546554966016,524,166
281,670842764863651840,22081,7575
282,670995969505435648,970,243
283,671109016219725825,1005,378
284,671115716440031232,1218,673
285,671122204919246848,3088,2189
286,671134062904504320,654,162
287,671138694582165504,823,343
288,671141549288370177,1022,572
289,671147085991960577,585,192
290,671151324042559489,587,128
291,671154572044468225,625,186
